original name,filename,isTarget,isOverlap,url,imageID
2011 Ruiz 10.1109/TVCG.2011.173 c 3.png,sci1122.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1122.png,I55
2011 Sundén 10.1109/TVCG.2011.211 c 2.png,sci1144.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1144.png,I56
2011 Suter 10.1109/TVCG.2011.214 c 3.png,sci1148.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1148.png,I57
2011 Zou 10.1109/TVCG.2011.171 c 2.png,sci1182.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1182.png,I58
2011 Zou 10.1109/TVCG.2011.171 c 4.png,sci1184.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1184.png,I59
2012 Fout 10.1109/TVCG.2012.194 c 2.png,sci1218.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1218.png,I60
2012 Gasteiger 10.1109/TVCG.2012.202 c 5.png,sci1227.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1227.png,I61
2012 Gurijala 10.1109/TVCG.2012.210 c 3.png,sci1242.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1242.png,I62
2012 Gurijala 10.1109/TVCG.2012.210 c 7.png,sci1246.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1246.png,I63
2012 Jönsson 10.1109/TVCG.2012.232 c 1.png,sci1265.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1265.png,I64
2012 Läthén 10.1109/TVCG.2012.203 c 11.png,sci1276.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1276.png,I65
2012 Läthén 10.1109/TVCG.2012.203 c 4.png,sci1280.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1280.png,I66
2013 Auzinger 10.1109/TVCG.2013.215 c 4.png,sci1422.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1422.png,I67
2013 Ehlke 10.1109/TVCG.2013.159 c 1.png,sci1441.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1441.png,I68
2013 Ehlke 10.1109/TVCG.2013.159 c 7.png,sci1449.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1449.png,I69
2013 Köhler 10.1109/TVCG.2013.189 c 4.png,sci1516.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1516.png,I70
2013 Köhler 10.1109/TVCG.2013.189 c 7.png,sci1519.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1519.png,I71
2013 Zhang 10.1109/TVCG.2013.172 c 1.png,sci1580.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1580.png,I72
2013 Zhang 10.1109/TVCG.2013.172 c 2.png,sci1581.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1581.png,I73
2014 Berge 10.1109/TVCG.2014.2346317 c 3.png,sci1606.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1606.png,I74
2014 Bista 10.1109/TVCG.2014.2346411 c 6.png,sci1615.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1615.png,I75
2014 Born 10.1109/TVCG.2014.2346459 c 6.png,sci1624.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1624.png,I76
2014 Glaßer 10.1109/TVCG.2014.2346406 c 9.png,sci1642.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1642.png,I77
2014 Hu 10.1109/TVCG.2014.2346457 c 6.png,sci1704.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1704.png,I78
2014 Ju 10.1109/TVCG.2014.2346412 c 1.png,sci1708.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1708.png,I79
2014 Kretschmer 10.1109/TVCG.2014.2346405 c 6.png,sci1715.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1715.png,I80
2014 Lindow 10.1109/TVCG.2014.2346404 c 1.png,sci1724.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1724.png,I81
